pageid,name,coords,region,quality_score,rating_raw,rating_clean,time_lowhours,time_highhours,distance_mi,num_rappels,longest_raw,longest_rappel_ft,best_season_raw,season_spring,season_summer,season_fall,season_winter,best_season_notes,shuttle_raw,shuttle_minutes,vehicle_raw,vehicle_required
229,Pandora's Box,"38° 21' 5.76"" N, 111° 21' 37.44"" W",Fruita District,4.8,3A IV PG (<i>v4a1 IV</i>),3A IV PG,10.0,14.0,10.5,7,150 ft,150,Spring; Summer; Fall,True,True,True,False,,,,Passenger,False
279,Poe Canyon,"37° 33' 22.68"" N, 110° 53' 9.60"" W",Halls Creek area,4.8,4B V X (<i>v6a2 V</i>),4B V X,10.0,20.0,4.3,16,135 ft,135,Spring; Fall.,True,False,True,False,,0 minutes,0.0,Passenger,False
52211,Jiminy Cricket,"37° 33' 31.68"" N, 110° 53' 17.16"" W",Halls Creek area,5.0,4B V X (<i>v6a2 V</i>),4B V X,,,,,,,Spring or Fall,True,False,True,False,,0 minutes,0.0,Passenger,False
30246,Rotary Dial Canyon,"37° 45' 15.48"" N, 110° 58' 36.12"" W",Waterpocket Fold,4.6,4B IV (<i>v4a2 IV</i>),4B IV,,,12.5,12,50 ft,50,"Spring-Autumn, hot in summer",True,True,True,False,hot in summer,0 minutes,0.0,Passenger,False
228,Cassidy Canyon,"38° 15' 39.96"" N, 111° 13' 32.16"" W",Fruita District,4.5,3A II (<i>v3a1 II</i>),3A II,,,2.1,8,140 ft,140,Any,True,True,True,True,,0 minutes,0.0,Passenger,False
85504,Wife 3,"38° 16' 46.56"" N, 111° 14' 33.36"" W",Cohab Canyon,4.5,3A I (<i>v3a1 I</i>),3A I,,,,3,225 ft,225,,,,,,,0 minutes,0.0,Passenger,False
726,Sulphur Creek,"38° 18' 12.96"" N, 111° 18' 15.48"" W",Fruita District,4.4,2B II (<i>v1a2 II</i>),2B II,3.0,6.0,5.5,0,0 ft,0,Spring; Summer; Fall,True,True,True,False,,0.5 minutes,0.5,Passenger,False
278,Happy Dog Canyon,"37° 34' 34.32"" N, 110° 53' 29.40"" W",Halls Creek area,4.3,4B V R (<i>v5a2 V</i>),4B V R,7.0,11.0,3.0,6,140 ft,140,,,,,,,0 minutes,0.0,Passenger,False
490,Wonderland Canyon,"38° 16' 8.04"" N, 111° 11' 27.60"" W",Fruita District,4.1,4B III (<i>v4a2 III</i>),4B III,5.0,7.0,,4,210 ft,210,Spring; Summer; Fall,True,True,True,False,,0 minutes,0.0,Passenger,False
234,Strike 2 Canyon,"37° 52' 31.44"" N, 111° 2' 31.20"" W",Waterpocket Fold,4.0,3B III (<i>v3a2 III</i>),3B III,3.0,6.0,1.4,3,200 ft,200,,,,,,,1 minutes,1.0,High Clearance,True
