pageid,name,coords,region,quality_score,rating_raw,rating_clean,time_lowhours,time_highhours,distance_mi,num_rappels,longest_raw,longest_rappel_ft,best_season_raw,season_spring,season_summer,season_fall,season_winter,best_season_notes,shuttle_raw,shuttle_minutes,vehicle_raw,vehicle_required
729,Buckwater Draw,"40° 18' 19.44"" N, 108° 58' 52.32"" W",Dinosaur National Monument,3,3A III (v3a1 III),3A III,8.25,,7.05,7,55 ft,55,"May, Sep-Oct",FALSE,TRUE,TRUE,FALSE,,0.5 minutes,0.5,Passenger,FALSE
74025,Miller Creek (Dinosaur),"40° 18' 24.84"" N, 108° 42' 48.96"" W",Dinosaur National Monument,3.7,3B II (v2a2 III),3B II,,,5.15,3,40 ft,40,"May-Jun, Sep-Oct",FALSE,TRUE,TRUE,FALSE,,0 minutes,0,4WD,TRUE
86248,NoHog,"40° 25' 51.96"" N, 109° 9' 55.44"" W",Dinosaur National Monument,2.5,3A II (v4a1 <i>II</i>),3A II,,,2.55,5,150 ft,150,"May-Jun, Sep-Oct",FALSE,TRUE,TRUE,FALSE,,0 minutes,0,Passenger,FALSE
734,Scoggin's Draw,"40° 30' 39.24"" N, 108° 54' 48.96"" W",Dinosaur National Monument,3.2,3B IV (v3a2 IV),3B IV,,,12.7,6,90 ft,90,Sep-Oct,FALSE,FALSE,TRUE,FALSE,,0 minutes,0,4WD - High Clearance,TRUE
81969,Inlaw Canyon,"40° 29' 38.40"" N, 108° 53' 48.48"" W",Dinosaur National Monument,3,3B IV (v4a2 V),3B IV,,,7.57,8,170 ft,170,Sep-Oct,FALSE,FALSE,TRUE,FALSE,,0 minutes,0,4WD - High Clearance,TRUE
98398,Showdown Canyon (Dinosaur),"40° 30' 8.64"" N, 108° 55' 50.88"" W",Dinosaur National Monument,3,3A III (v4a1 III),3A III,,,6.75,5,180 ft,180,Sept-Oct,FALSE,FALSE,TRUE,FALSE,,0.5 minutes,0.5,4WD - High Clearance,TRUE
733,Outlaw Canyon,"40° 30' 18.72"" N, 108° 54' 19.08"" W",Dinosaur National Monument,1.7,3B IV (v2a2 <i>IV</i>),3B IV,,,9.57,1,35 ft,35,Sep-Oct,FALSE,FALSE,TRUE,FALSE,,0 minutes,0,4WD - High Clearance,TRUE
90703,Cub Creek (Middle Fork),"40° 25' 24.24"" N, 109° 7' 33.24"" W",Dinosaur National Monument,3,3B III (v3a2 <i>III</i>),3B III,,,7.05,4,90 ft,90,"Apr-Jun, Sep-Oct",FALSE,TRUE,TRUE,FALSE,,0 minutes,0,Passenger,FALSE
98435,Tiger Wall Canyon (Lower),"40° 29' 59.64"" N, 108° 54' 53.28"" W",Dinosaur National Monument,2,3B III (v3a2 <i>III</i>),3B III,,,8.4,6,140 ft,140,Sept-Oct,FALSE,FALSE,TRUE,FALSE,,0 minutes,0,4WD - High Clearance,TRUE
74015,West Serviceberry Draw,"40° 27' 37.80"" N, 108° 50' 27.24"" W",Dinosaur National Monument,2.5,3A I (v3a1 III),3A I,,,1.75,2,100 ft,100,"May, Sep-Oct",FALSE,TRUE,TRUE,FALSE,,0 minutes,0,4WD - High Clearance,TRUE
32673,Hog Canyon in Dinosaur NM,"40° 26' 7.08"" N, 109° 9' 45.72"" W",Dinosaur National Monument,2.3,3A III (v4a1 V),3A III,,,3.3,5,270 ft,270,"May-Jun, Sep-Oct",FALSE,TRUE,TRUE,FALSE,,0.5 minutes,0.5,Passenger,FALSE
82052,Bandit Canyon,"40° 30' 51.48"" N, 108° 58' 14.88"" W",Dinosaur National Monument,2,3A II (<i>v3a1 II</i>),3A II,,,,5,160 ft,160,"May-June, Sep-Oct",FALSE,TRUE,TRUE,FALSE,,0 minutes,0,4WD - High Clearance,TRUE
82531,Bearwater Canyon,"40° 17' 19.68"" N, 108° 53' 31.20"" W",Dinosaur National Monument,2,3B III (<i>v3a2 III</i>),3B III,,,5.69,5,70 ft,70,Spring/Fall,TRUE,FALSE,TRUE,FALSE,,,,High Clearance,TRUE
