pageid,name,coords,region,quality_score,rating_raw,rating_clean,time_lowhours,time_highhours,distance_mi,num_rappels,longest_raw,longest_rappel_ft,best_season_raw,season_spring,season_summer,season_fall,season_winter,best_season_notes,shuttle_raw,shuttle_minutes,vehicle_raw,vehicle_required
592,Choprock Canyon (South Fork),"37° 38' 3.84"" N, 111° 10' 31.80"" W",Choprock Bench,5.0,4B V R (<i>v5a2 V</i>),4B V R,11.0,14.0,,5,70 ft,70,Spring; Fall; Aug,True,False,True,False,,0 minutes,0.0,High Clearance,True
445,Buckskin Gulch,"37° 1' 12.00"" N, 112° 1' 24.96"" W",Southwest Escalante,4.7,2B V (v3a2 V),2B V,4.333,48.0,20.0,1,49.213 ft,49,Spring;Summer;Fall;HOT in Summer,True,True,True,False,hot in summer,,,Passenger,False
742,Brimstone Gulch (lower),"37° 29' 13.20"" N, 111° 11' 37.32"" W",Escalante,4.6,4B II R (<i>v5a2 II</i>),4B II R,4.0,5.0,4.5,,,,BEST in Apr;May;Jun;Oct,False,False,False,False,,,,,False
774,Sleepy Hollow,"37° 27' 1.80"" N, 111° 4' 45.48"" W",Escalante,5.0,4B IV X (<i>v6a2 IV</i>),4B IV X,8.0,11.0,7.0,2,70 ft,70,,,,,,,,,,False
48510,Holy Cow Canyon,"37° 46' 28.92"" N, 111° 12' 15.12"" W",Escalante,4.6,4B III (<i>v4a2 III</i>),4B III,7.0,10.0,4.6,6,100 ft,100,,,,,,,0 minutes,0.0,Passenger,False
11040,Islomania Dome,"37° 42' 31.68"" N, 111° 21' 6.48"" W",Escalante,4.7,POI,POI,5.0,7.0,,,,,Any;HOT in Summer,True,True,True,True,hot in summer,,,,False
499,Death Hollow,"37° 47' 1.68"" N, 111° 30' 25.92"" W",Escalante,4.4,2B V (<i>v1a2 V</i>),2B V,72.0,120.0,,0,0 ft,0,Spring; Summer; Fall,True,True,True,False,,,,,False
467,Neon Canyon,"37° 36' 42.84"" N, 111° 9' 52.56"" W",Choprock Bench,4.3,3B IV (<i>v3a2 IV</i>),3B IV,8.0,10.0,10.8,5,83 ft,83,Spring; Summer; Fall,True,True,True,False,,0 minutes,0.0,High Clearance,True
762,Micro Death Hollow,"37° 46' 9.48"" N, 111° 29' 49.92"" W",Escalante,4.3,3B II R (<i>v5a2 II</i>),3B II R,3.0,6.0,2.9,3,275.591 ft,275,Spring; Summer; Fall,True,True,True,False,,0 minutes,0.0,High Clearance,True
745,Coyote Gulch,"37° 24' 59.76"" N, 111° 2' 25.44"" W",Escalante,4.3,2B V (<i>v1a2 V</i>),2B V,,,,,0 ft,0,Spring;Summer;Fall;Winter,True,True,True,True,,,,,False
