pageid,name,coords,region,subregion,quality_score,rating_raw,rating_clean,time_lowhours,time_highhours,distance_mi,num_rappels,longest_raw,longest_rappel_ft,best_season_raw,season_spring,season_summer,season_fall,season_winter,best_season_notes,shuttle_raw,shuttle_minutes,vehicle_raw,vehicle_required,latitude,longitude,technical_class,water_rating,time_commitment,risk_rating
229,Pandora's Box,"38° 21' 5.76"" N, 111° 21' 37.44"" W",Capitol Reef,Fruita District,4.8,3A IV PG (<i>v4a1 IV</i>),3A IV PG,10,14,10.5,7,150 ft,150,Spring; Summer; Fall,TRUE,TRUE,TRUE,FALSE,,,,Passenger,FALSE,38.3516,-111.3604,3,A,IV,PG
279,Poe Canyon,"37° 33' 22.68"" N, 110° 53' 9.60"" W",Capitol Reef,Halls Creek area,4.8,4B V X (<i>v6a2 V</i>),4B V X,10,20,4.3,16,135 ft,135,Spring; Fall.,TRUE,FALSE,TRUE,FALSE,,0 minutes,0,Passenger,FALSE,37.5563,-110.886,4,B,V,X
52211,Jiminy Cricket,"37° 33' 31.68"" N, 110° 53' 17.16"" W",Capitol Reef,Halls Creek area,5,4B V X (<i>v6a2 V</i>),4B V X,,,,,,,Spring or Fall,TRUE,FALSE,TRUE,FALSE,,0 minutes,0,Passenger,FALSE,37.5588,-110.8881,4,B,V,X
30246,Rotary Dial Canyon,"37° 45' 15.48"" N, 110° 58' 36.12"" W",Capitol Reef,Waterpocket Fold,4.6,4B IV (<i>v4a2 IV</i>),4B IV,,,12.5,12,50 ft,50,"Spring-Autumn, hot in summer",TRUE,TRUE,TRUE,FALSE,hot in summer,0 minutes,0,Passenger,FALSE,37.7543,-110.9767,4,B,IV,
228,Cassidy Canyon,"38° 15' 39.96"" N, 111° 13' 32.16"" W",Capitol Reef,Fruita District,4.5,3A II (<i>v3a1 II</i>),3A II,,,2.1,8,140 ft,140,Any,TRUE,TRUE,TRUE,TRUE,,0 minutes,0,Passenger,FALSE,38.2611,-111.2256,3,A,II,
85504,Wife 3,"38° 16' 46.56"" N, 111° 14' 33.36"" W",Capitol Reef,Cohab Canyon,4.5,3A I (<i>v3a1 I</i>),3A I,,,,3,225 ft,225,,,,,,,0 minutes,0,Passenger,FALSE,38.2796,-111.2426,3,A,I,
726,Sulphur Creek,"38° 18' 12.96"" N, 111° 18' 15.48"" W",Capitol Reef,Fruita District,4.4,2B II (<i>v1a2 II</i>),2B II,3,6,5.5,0,0 ft,0,Spring; Summer; Fall,TRUE,TRUE,TRUE,FALSE,,0.5 minutes,0.5,Passenger,FALSE,38.3036,-111.3043,2,B,II,
278,Happy Dog Canyon,"37° 34' 34.32"" N, 110° 53' 29.40"" W",Capitol Reef,Halls Creek area,4.3,4B V R (<i>v5a2 V</i>),4B V R,7,11,3,6,140 ft,140,,,,,,,0 minutes,0,Passenger,FALSE,37.5762,-110.8915,4,B,V,R
490,Wonderland Canyon,"38° 16' 8.04"" N, 111° 11' 27.60"" W",Capitol Reef,Fruita District,4.1,4B III (<i>v4a2 III</i>),4B III,5,7,,4,210 ft,210,Spring; Summer; Fall,TRUE,TRUE,TRUE,FALSE,,0 minutes,0,Passenger,FALSE,38.2689,-111.191,4,B,III,
234,Strike 2 Canyon,"37° 52' 31.44"" N, 111° 2' 31.20"" W",Capitol Reef,Waterpocket Fold,4,3B III (<i>v3a2 III</i>),3B III,3,6,1.4,3,200 ft,200,,,,,,,1 minutes,1,High Clearance,TRUE,37.8754,-111.042,3,B,III,
85510,Wife 5,"38° 16' 48.72"" N, 111° 14' 28.32"" W",Capitol Reef,Cohab Canyon,3.9,3A I (<i>v3a1 I</i>),3A I,,,,5,80 ft,80,Any,TRUE,TRUE,TRUE,TRUE,,0 minutes,0,Passenger,FALSE,38.2802,-111.2412,3,A,I,
232,Shinob Canyon (Timpie Fork),"38° 15' 15.12"" N, 111° 12' 46.80"" W",Capitol Reef,Shinob,3.9,3B II (<i>v3a2 II</i>),3B II,2.5,6,2.8,4,270 ft,270,Any;HOT in Summer,TRUE,TRUE,TRUE,TRUE,hot in summer,0 minutes,0,Passenger,FALSE,38.2542,-111.213,3,B,II,
50082,Fire Canyon (Capitol Reef National Park),"38° 16' 15.96"" N, 111° 14' 18.96"" W",Capitol Reef,Fruita District,3.6,3B II (<i>v3a2 II</i>),3B II,,,,7,125 ft,125,,,,,,,0.5 minutes,0.5,Passenger,FALSE,38.2711,-111.2386,3,B,II,
231,Shinob Canyon (Nighthawk Fork),"38° 15' 7.56"" N, 111° 12' 53.64"" W",Capitol Reef,Shinob,3.6,4B II (<i>v4a2 II</i>),4B II,2,9,3.3,7,200 ft,200,Spring; Summer; Fall,TRUE,TRUE,TRUE,FALSE,,0 minutes,0,Passenger,FALSE,38.2521,-111.2149,4,B,II,
489,The Wives,"38° 16' 44.40"" N, 111° 14' 24.72"" W",Capitol Reef,Cohab Canyon,3.4,3A I (<i>v3a1 I</i>),3A I,3,8,2,,,,Any,TRUE,TRUE,TRUE,TRUE,,0 minutes,0,Passenger,FALSE,38.279,-111.2402,3,A,I,
914,Baboon Laughs,"37° 34' 12.00"" N, 110° 53' 1.32"" W",Capitol Reef,Halls Creek area,3.5,3B V (<i>v3a2 V</i>),3B V,4,48,,6,165 ft,165,Spring;Fall,TRUE,FALSE,TRUE,FALSE,,0 minutes,0,Passenger,FALSE,37.57,-110.8837,3,B,V,
230,Shinob Canyon (Na-gah Fork),"38° 15' 30.96"" N, 111° 13' 0.48"" W",Capitol Reef,Shinob,3.4,3B I (<i>v3a2 I</i>),3B I,3,5,2.3,3,155 ft,155,Spring; Summer; Fall,TRUE,TRUE,TRUE,FALSE,,0 minutes,0,Passenger,FALSE,38.2586,-111.2168,3,B,I,
32771,Arch Nemesis,"38° 12' 11.88"" N, 111° 10' 58.08"" W",Capitol Reef,Fruita District,3.4,3B II (<i>v3a2 II</i>),3B II,2,5,,9,75 ft,75,"Late Spring, Summer, Fall",TRUE,TRUE,TRUE,FALSE,,0 minutes,0,Passenger,FALSE,38.2033,-111.1828,3,B,II,
11027,Stegosaur Slot,"38° 17' 51.00"" N, 111° 14' 32.28"" W",Capitol Reef,Fruita District,3.3,3A II (v3a1 II),3A II,3,5,,1,98 ft,98,Spring; Summer; Fall,TRUE,TRUE,TRUE,FALSE,,0 minutes,0,Passenger,FALSE,38.2975,-111.2423,3,A,II,
485,Burro Wash,"38° 10' 5.16"" N, 111° 8' 56.40"" W",Capitol Reef,Notam,3.2,3B IV (<i>v3a2 IV</i>),3B IV,7,9,8,4,109 ft,109,Spring through Fall,TRUE,TRUE,TRUE,FALSE,,0.5 minutes,0.5,High Clearance,TRUE,38.1681,-111.149,3,B,IV,
59103,Glutton For Punishment,"37° 38' 5.64"" N, 110° 54' 41.40"" W",Capitol Reef,Waterpocket Fold,5,,,,,,,,,,,,,,,,,,FALSE,37.6349,-110.9115,,,,
486,Cottonwood Wash,"38° 8' 27.24"" N, 111° 8' 36.24"" W",Capitol Reef,Notam,3,3B III (<i>v3a2 III</i>),3B III,5,7,,3,66 ft,66,Spring; Summer; Fall,TRUE,TRUE,TRUE,FALSE,,1 minutes,1,,FALSE,38.1409,-111.1434,3,B,III,
39868,Red Canyon (Sunglow),"38° 20' 58.56"" N, 111° 31' 3.36"" W",Capitol Reef,Bicknell,3,3A II (<i>v3a1 II</i>),3A II,1,2,3,5,90 ft,90,Mar-Nov,TRUE,TRUE,TRUE,FALSE,,0 minutes,0,Passenger,FALSE,38.3496,-111.5176,3,A,II,
85498,Wife 1,"38° 16' 46.20"" N, 111° 14' 36.60"" W",Capitol Reef,Cohab Canyon,3,3A I (<i>v3a1 I</i>),3A I,,,,4,85 ft,85,Any,TRUE,TRUE,TRUE,TRUE,,0 minutes,0,Passenger,FALSE,38.2795,-111.2435,3,A,I,
39871,Watson Canyon,"38° 21' 33.48"" N, 111° 26' 2.04"" W",Capitol Reef,Bicknell,3,3A I (<i>v2a1 I</i>),3A I,2,3,,1,25 ft,25,Mar-Nov,TRUE,TRUE,TRUE,FALSE,,0 minutes,0,4WD - High Clearance,TRUE,38.3593,-111.4339,3,A,I,
488,Old School,"38° 17' 12.48"" N, 111° 10' 12.36"" W",Capitol Reef,Fruita District,2.6,3B I (<i>v3a2 I</i>),3B I,,,1,2,75 ft,75,Any;NOT in Spring,FALSE,TRUE,TRUE,TRUE,not in spring,0 minutes,0,Passenger,FALSE,38.2868,-111.1701,3,B,I,
233,Smokestack Canyon,"38° 19' 43.32"" N, 111° 17' 12.84"" W",Capitol Reef,Fruita District,2.9,3A III (<i>v3a1 III</i>),3A III,5,7.5,5.4,2,115 ft,115,Any; hot in summer,TRUE,TRUE,TRUE,TRUE,hot in summer,0 minutes,0,Passenger,FALSE,38.3287,-111.2869,3,A,III,
723,Grand Wash,"38° 16' 36.48"" N, 111° 12' 1.80"" W",Capitol Reef,Fruita District,3,2A I (<i>v1a1 I</i>),2A I,1,2,,0,0 ft,0,Any,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,38.2768,-111.2005,2,A,I,
85502,TOGA,"38° 16' 48.00"" N, 111° 14' 34.80"" W",Capitol Reef,Cohab Canyon,4,2A I PG (<i>v1a1 I</i>),2A I PG,,,,0,0 ft,0,Any,TRUE,TRUE,TRUE,TRUE,,0 minutes,0,Passenger,FALSE,38.28,-111.243,2,A,I,PG
487,Five Mile Wash,"38° 7' 12.72"" N, 111° 8' 46.32"" W",Capitol Reef,Notam,2.4,3B IV (<i>v3a2 IV</i>),3B IV,6,8,,4,33 ft,33,Spring through Fall,TRUE,TRUE,TRUE,FALSE,,1 minutes,1,4WD,TRUE,38.1202,-111.1462,3,B,IV,
53795,Cheerio Chump,"37° 52' 37.92"" N, 111° 2' 52.08"" W",Capitol Reef,Waterpocket Fold,3.4,3A II (<i>v3a1 II</i>),3A II,,,,4,130 ft,130,,,,,,,,,,FALSE,37.8772,-111.0478,3,A,II,
724,Muley Twist Canyon,"37° 52' 5.88"" N, 111° 2' 27.24"" W",Capitol Reef,Waterpocket Fold,4,1A <i>III</i> (<i>v1a1 III</i>),1A <i>III</i>,4,12,16.5,,0 ft,0,Spring;Fall;Winter,TRUE,FALSE,TRUE,TRUE,,,,Passenger,FALSE,37.8683,-111.0409,1,A,III,
725,Sheets Gulch,"38° 6' 16.20"" N, 111° 4' 59.88"" W",Capitol Reef,Notam,4,2A III (<i>v1a1 III</i>),2A III,4,7,11,0,0 ft,0,Any;COLD in Winter,TRUE,TRUE,TRUE,TRUE,cold in winter,0 minutes,0,,FALSE,38.1045,-111.0833,2,A,III,
59104,...must be on dope,"37° 37' 22.80"" N, 110° 53' 47.04"" W",Capitol Reef,Waterpocket Fold,5,,,,,,,,,,,,,,,,,,FALSE,37.623,-110.8964,,,,
85506,Wife 4,"38° 16' 45.12"" N, 111° 14' 31.56"" W",Capitol Reef,Cohab Canyon,2,3A I (<i>v3a1 I</i>),3A I,,,,1,75 ft,75,Any,TRUE,TRUE,TRUE,TRUE,,0 minutes,0,Passenger,FALSE,38.2792,-111.2421,3,A,I,
69007,Beaver Bay Canyon,"38° 16' 56.28"" N, 111° 11' 1.32"" W",Capitol Reef,Fruita District,2.5,3B I (<i>v3</i>a1 <i>I</i>),3B I,,,,2,85 ft,85,Jan-Dec,TRUE,TRUE,TRUE,TRUE,,0 minutes,0,,FALSE,38.2823,-111.1837,3,B,I,
25168,Surprise Canyon (Capitol Reef National Park),"37° 50' 0.60"" N, 110° 59' 51.36"" W",Capitol Reef,Waterpocket Fold,2.5,1A I (<i>v1a1 I</i>),1A I,1,2,2.5,,0 ft,0,Any; hot in summer,TRUE,TRUE,TRUE,TRUE,hot in summer,0 minutes,0,Passenger,FALSE,37.8335,-110.9976,1,A,I,
53794,Saddle Sore,"37° 54' 9.72"" N, 111° 3' 40.68"" W",Capitol Reef,Waterpocket Fold,3.5,3A II (<i>v3a1 II</i>),3A II,,,,,,,,,,,,,,,,FALSE,37.9027,-111.0613,3,A,II,
40110,Sand Creek Falls,"38° 21' 20.52"" N, 111° 28' 1.56"" W",Capitol Reef,Bicknell,3.5,2A II (<i>v1a1 II</i>),2A II,2,3,3,,0 ft,0,Any;Winter,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,38.3557,-111.4671,2,A,II,
74561,Stem School,"38° 16' 35.76"" N, 111° 10' 35.40"" W",Capitol Reef,Fruita District,3,3B II (<i>v3a2 II</i>),3B II,2,5,1.4,4,150 ft,150,,,,,,,0 minutes,0,Passenger,FALSE,38.2766,-111.1765,3,B,II,
68171,Wingate Wander,"38° 10' 31.44"" N, 111° 10' 27.12"" W",Capitol Reef,Fruita District,3,4B IV (<i>v4a2 IV</i>),4B IV,,,,3,190 ft,190,FALL,FALSE,FALSE,TRUE,FALSE,,0 minutes,0,4WD,TRUE,38.1754,-111.1742,4,B,IV,
1122,Halls Creek Narrows,"37° 40' 59.16"" N, 110° 54' 34.92"" W",Capitol Reef,Waterpocket Fold,4,2B III (<i>v1a2 III</i>),2B III,6,10,18.4,,0 ft,0,Spring;Summer;Fall;Winter,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,37.6831,-110.9097,2,B,III,
25034,Headquarters Canyon,"37° 49' 41.16"" N, 110° 59' 22.92"" W",Capitol Reef,Waterpocket Fold,4,1A I (<i>v1a1 I</i>),1A I,2,3,,,0 ft,0,Any;HOT in Summer,TRUE,TRUE,TRUE,TRUE,hot in summer,,,,FALSE,37.8281,-110.9897,1,A,I,
