pageid,name,coords,region,quality_score,rating_raw,rating_clean,time_lowhours,time_highhours,distance_mi,num_rappels,longest_raw,longest_rappel_ft,best_season_raw,season_spring,season_summer,season_fall,season_winter,best_season_notes,shuttle_raw,shuttle_minutes,vehicle_raw,vehicle_required
279,Poe Canyon,"37° 33' 22.68"" N, 110° 53' 9.60"" W",Halls Creek area,4.8,4B V X (<i>v6a2 V</i>),4B V X,10.0,20.0,4.3,16,135 ft,135,Spring; Fall.,True,False,True,False,,0 minutes,0.0,Passenger,False
52211,Jiminy Cricket,"37° 33' 31.68"" N, 110° 53' 17.16"" W",Halls Creek area,5.0,4B V X (<i>v6a2 V</i>),4B V X,,,,,,,Spring or Fall,True,False,True,False,,0 minutes,0.0,Passenger,False
322,Hard Day Harvey Canyon,"37° 39' 47.52"" N, 110° 33' 22.68"" W",Ticaboo Mesa,4.4,3B III R (<i>v5a2 III</i>),3B III R,4.0,8.5,5.7,4,50 ft,50,Spring through Fall,True,True,True,False,,0 minutes,0.0,High Clearance,True
323,Montezuma Canyon,"37° 39' 8.64"" N, 110° 33' 27.36"" W",Ticaboo Mesa,4.4,4B III (<i>v4a2 III</i>),4B III,5.0,8.0,3.2,4,260 ft,260,,,,,,,,,High Clearance,True
313,Paradiso Canyon,"37° 41' 20.04"" N, 110° 31' 18.12"" W",Ticaboo Mesa,4.3,3B II PG (<i>v4a2 II</i>),3B II PG,3.0,7.0,3.9,4,80 ft,80,Any;HOT in Summer,True,True,True,True,hot in summer,0 minutes,0.0,High Clearance,True
278,Happy Dog Canyon,"37° 34' 34.32"" N, 110° 53' 29.40"" W",Halls Creek area,4.3,4B V R (<i>v5a2 V</i>),4B V R,7.0,11.0,3.0,6,140 ft,140,,,,,,,0 minutes,0.0,Passenger,False
325,Psychological Damage Canyon,"37° 36' 5.04"" N, 110° 37' 35.40"" W",Ticaboo Mesa,4.3,3B III X (<i>v6a2 III</i>),3B III X,4.0,8.0,4.0,0,0 ft,0,Any;HOT in Summer,True,True,True,True,hot in summer,0 minutes,0.0,High Clearance,True
321,Good Day Jim Canyon,"37° 39' 55.44"" N, 110° 33' 34.56"" W",Ticaboo Mesa,4.0,3B III R (<i>v5a2 III</i>),3B III R,5.0,8.0,5.6,5,66 ft,66,Spring through Fall.,True,True,True,False,,,,High Clearance,True
311,Inferno Canyon,"37° 41' 7.44"" N, 110° 31' 53.40"" W",Ticaboo Mesa,4.0,3A II R (<i>v5a1 II</i>),3A II R,4.0,6.0,2.5,5,83 ft,83,Any; hot in summer,True,True,True,True,hot in summer,0 minutes,0.0,High Clearance,True
318,Euphrates Canyon,"37° 39' 9.72"" N, 110° 32' 36.96"" W",Ticaboo Mesa,4.0,4B III (<i>v4a2 III</i>),4B III,4.0,6.0,2.6,2,200 ft,200,,,,,,,,,High Clearance,True
948,Tinnitus,"37° 36' 57.96"" N, 110° 36' 11.88"" W",Ticaboo Mesa,4.0,4B II R (<i>v5a2 II</i>),4B II R,,,,3,80 ft,80,"Fall, Winter, Spring",True,False,True,True,,,,4WD - High Clearance,True
312,Limbo Canyon,"37° 41' 4.92"" N, 110° 31' 42.60"" W",Ticaboo Mesa,3.7,4A III R (<i>v5a1 III</i>),4A III R,6.0,7.0,2.6,5,120 ft,120,,,,,,,0 minutes,0.0,High Clearance,True
320,Glaucoma Canyon,"37° 37' 7.68"" N, 110° 36' 14.76"" W",Ticaboo Mesa,4.0,4A III X (<i>v6a1 III</i>),4A III X,4.0,7.0,2.9,0,180 ft,180,,,,,,,0 minutes,0.0,High Clearance,True
314,Purgatory Canyon (Dave's Not Dead),"37° 41' 12.84"" N, 110° 32' 1.32"" W",Ticaboo Mesa,3.4,3A II (<i>v3a1 II</i>),3A II,3.0,8.0,2.7,7,105 ft,105,Any;HOT in Summer,True,True,True,True,hot in summer,0 minutes,0.0,High Clearance,True
327,Sinusitis Canyon,"37° 37' 7.68"" N, 110° 36' 33.48"" W",Ticaboo Mesa,3.8,4B II R (<i>v5a2 II</i>),4B II R,4.0,6.0,5.1,1,30 ft,30,,,,,,,0 minutes,0.0,4WD - High Clearance,True
914,Baboon Laughs,"37° 34' 12.00"" N, 110° 53' 1.32"" W",Halls Creek area,3.5,3B V (<i>v3a2 V</i>),3B V,4.0,48.0,,6,165 ft,165,Spring;Fall,True,False,True,False,,0 minutes,0.0,Passenger,False
316,Double Entendre,"37° 42' 2.16"" N, 110° 33' 1.80"" W",Ticaboo Mesa,3.7,4B III PG (<i>v4a2 III</i>),4B III PG,1.0,6.0,3.2,,150 ft,150,,,,,,,,,High Clearance,True
546,Ticaboo Canyon (Upper),"37° 42' 5.40"" N, 110° 34' 48.72"" W",Ticaboo Mesa,3.5,3B III (<i>v3a2 III</i>),3B III,6.0,8.0,5.0,7,195 ft,195,Spring through Fall;HOT in Summer,True,True,True,False,hot in summer,,,,False
545,Blue Pool Wash,"37° 2' 14.64"" N, 111° 37' 0.12"" W",Big Water,3.2,3A I (<i>v3a1 I</i>),3A I,,,1.25,3,40 ft,40,Any;HOT in Summer,True,True,True,True,hot in summer,0 minutes,0.0,Passenger,False
315,Double Deuce Canyon,"37° 38' 34.44"" N, 110° 35' 53.16"" W",Ticaboo Mesa,3.5,4B III (<i>v4a2 III</i>),4B III,,,3.3,7,125 ft,125,,,,,,,0 minutes,0.0,High Clearance,True
310,Devils Thumb,"37° 40' 45.12"" N, 110° 32' 20.76"" W",Ticaboo Mesa,3.5,4B III (<i>v4a2 III</i>),4B III,5.0,8.0,3.0,4,55 ft,55,,,,,,,0 minutes,0.0,High Clearance,True
10320,East of Stateline Canyon,"37° 0' 0.36"" N, 111° 31' 18.48"" W",Big Water,3.4,2A I (<i>v1a1 I</i>),2A I,2.0,4.0,3.0,0,0 ft,0,,,,,,,0 minutes,0.0,Passenger,False
937,Mumbai Canyon,"37° 19' 53.40"" N, 110° 57' 32.76"" W",Glen Canyon NRA,4.5,4A IV X (<i>v6a1 IV</i>),4A IV X,11.0,14.0,13.1,2,90 ft,90,,,,,,,,,,False
