pageid,name,coords,region,quality_score,rating_raw,rating_clean,time_lowhours,time_highhours,distance_mi,num_rappels,longest_raw,longest_rappel_ft,best_season_raw,season_spring,season_summer,season_fall,season_winter,best_season_notes,shuttle_raw,shuttle_minutes,vehicle_raw,vehicle_required
47175,Krill Canyon,"38° 44' 45.24"" N, 109° 33' 39.60"" W",Arches National Park,5.0,3A II (<i>v3a1 II</i>),3A II,3.0,5.0,,1,115 ft,115,"Fall, Summer, Spring",True,True,True,False,,0 minutes,0.0,Passenger,False
952,Lomatium Canyon,"38° 44' 49.56"" N, 109° 33' 36.36"" W",Arches National Park,4.4,3A II (<i>v3a1 II</i>),3A II,4.0,7.0,,2,120 ft,120,Mar-Nov,True,True,True,False,,0 minutes,0.0,Passenger,False
510,Pleiades Canyon,"38° 28' 23.16"" N, 109° 17' 21.84"" W",Spanish Valley,4.1,3C II (<i>v3a4 II</i>),3C II,,,1.7,6,70 ft,70,July-October,False,False,False,False,,,,Passenger,False
506,Lost and Found Canyon,"38° 47' 18.24"" N, 109° 29' 21.12"" W",Yellow Cat Mesa,4.1,3A III (<i>v3a1 III</i>),3A III,4.0,6.0,,3,132 ft,132,"Fall, Winter, Spring",True,False,True,True,,,,High Clearance,True
950,Fiery Furnace,"38° 44' 35.52"" N, 109° 33' 56.88"" W",Arches National Park,4.0,2A II (<i>v1a1 II</i>),2A II,2.0,5.0,5.0,0,0 ft,0,Any;HOT in Summer,True,True,True,True,hot in summer,0 minutes,0.0,Passenger,False
949,Elephant Butte,"38° 41' 44.16"" N, 109° 32' 23.64"" W",Arches National Park,3.8,3A III (<i>v3a1 III</i>),3A III,3.0,5.0,,2,82.021 ft,82,All year,False,False,False,False,,,,Passenger,False
505,Granary Canyon,"38° 32' 39.48"" N, 109° 43' 11.64"" W",Potash Road,3.8,3A IV (<i>v3a1 IV</i>),3A IV,7.0,10.0,,7,200 ft,200,"Winter, Spring, Fall",True,False,True,True,,1 minutes,1.0,Passenger,False
951,Lomatium & Krill Loop,"38° 44' 35.16"" N, 109° 33' 57.24"" W",Arches National Park,0.0,3A III (<i>v3a1 III</i>),3A III,5.0,7.0,,6,120 ft,120,Mar-Nov,True,True,True,False,,0 minutes,0.0,Passenger,False
512,Professor Creek,"38° 41' 1.68"" N, 109° 21' 19.80"" W",Castle Valley,3.7,3B III (<i>v3a2 III</i>),3B III,6.0,8.0,,2,60 ft,60,"Fall, Summer",False,True,True,False,,0 minutes,0.0,Passenger,False
511,Pritchett Canyon,"38° 32' 5.64"" N, 109° 34' 15.96"" W",Kane Creek Road,3.6,3A III (<i>v3a1 III</i>),3A III,3.0,5.0,,3,135 ft,135,"Fall, Summer, Spring",True,True,True,False,,0 minutes,0.0,Passenger,False
504,Dragonfly Canyon,"38° 39' 45.36"" N, 109° 34' 58.08"" W",Arches National Park,3.4,3B II (<i>v3a2 II</i>),3B II,3.0,5.0,,2,115 ft,115,"Fall, Summer, Spring",True,True,True,False,,,,Passenger,False
507,Medieval Chamber,"38° 35' 33.36"" N, 109° 30' 29.52"" W",Sand Flats Road,3.5,3A II (<i>v3a1 II</i>),3A II,2.0,4.0,,2,165 ft,165,All year,False,False,False,False,,0.5 minutes,0.5,Passenger,False
7609,SGR Slot,"38° 29' 35.16"" N, 109° 29' 31.56"" W",Spanish Valley,3.5,3A III R (<i>v5a1 III</i>),3A III R,6.0,10.0,6.5,6,95 ft,95,"Fall, Spring",True,False,True,False,,0 minutes,0.0,4WD,True
7613,Moonflower Canyon,"38° 33' 14.76"" N, 109° 34' 45.84"" W",Kane Creek Road,3.3,3A II (v3a1 II),3A II,2.0,4.0,3.2,2,220 ft,220,"Fall, Summer, Spring",True,True,True,False,,0 minutes,0.0,Passenger,False
11029,Corona Arch,"38° 34' 23.52"" N, 109° 37' 57.36"" W",Potash Road,3.5,POI,POI,2.0,3.0,,,,,Any,True,True,True,True,,0 minutes,0.0,,False
503,Entrajo Canyon,"38° 28' 52.68"" N, 109° 24' 13.68"" W",Spanish Valley,3.0,3B II (<i>v3a2 II</i>),3B II,2.0,4.0,,2,80 ft,80,"Fall, Summer, Spring",True,True,True,False,,,,Passenger,False
501,Big Horn Canyon,"38° 39' 40.32"" N, 109° 35' 40.56"" W",Arches National Park,3.1,3A II (v3a1 II),3A II,3.0,5.0,,3,80 ft,80,All year,False,False,False,False,,,,Passenger,False
55429,Rim Shot,"38° 33' 28.08"" N, 109° 34' 42.96"" W",Kane Creek Road,2.9,3A II (<i>v3a1 II</i>),3A II,,,2.95,6,210 ft,210,"Spring, Fall",True,False,True,False,,0 minutes,0.0,Passenger,False
1125,Onion Creek,"38° 43' 10.56"" N, 109° 17' 12.84"" W",Castle Valley,3.1,3A III (<i>v3a1 III</i>),3A III,4.0,6.0,4.6,1,30 ft,30,"Fall, Summer, Spring",True,True,True,False,,,,4WD - High Clearance,True
514,U-Turn Canyon,"38° 37' 27.84"" N, 109° 36' 14.76"" W",Arches National Park,2.7,3A II (<i>v3a1 II</i>),3A II,2.0,4.0,1.0,3,102 ft,102,All year,False,False,False,False,,0 minutes,0.0,Passenger,False
513,Tierdrop Canyon,"38° 37' 32.16"" N, 109° 36' 23.04"" W",Arches National Park,2.9,3A II (<i>v3a1 II</i>),3A II,2.0,4.0,,3,132 ft,132,All year,False,False,False,False,,0 minutes,0.0,Passenger,False
509,Not Tierdrop Canyon,"38° 37' 29.64"" N, 109° 36' 18.72"" W",Arches National Park,2.8,3A II (<i>v3a1 II</i>),3A II,2.0,4.0,,2,197 ft,197,All year,False,False,False,False,,0 minutes,0.0,Passenger,False
55230,Crack'N Jill,"38° 32' 40.00"" N, 109° 34' 56.00"" W",Kane Creek Road,3.1,4A III (<i>v4a1 III</i>),4A III,,,3.0,5,80 ft,80,,,,,,,0 minutes,0.0,Passenger,False
58188,Brides Canyon (Upper),"38° 37' 3.72"" N, 109° 39' 15.12"" W",Gemini Bridges,3.0,3A II (<i>v3a1 II</i>),3A II,3.0,5.0,2.0,4,50 ft,50,"Spring and Fall are best, but winter is fine if there isn't too much snow. The Gemini Bridges Road can be quite trecherous when snowy and icy.",True,False,True,True,,0 minutes,0.0,High Clearance,True
