pageid,name,coords,region,quality_score,rating_raw,rating_clean,time_lowhours,time_highhours,distance_mi,num_rappels,longest_raw,longest_rappel_ft,best_season_raw,season_spring,season_summer,season_fall,season_winter,best_season_notes,shuttle_raw,shuttle_minutes,vehicle_raw,vehicle_required
583,The Squeeze,"38° 32' 40.20"" N, 110° 57' 3.24"" W",Southern Swell,4.9,4B IV (<i>v4a2 IV</i>),4B IV,7.0,12.0,,16,99 ft,99,Spring through Fall,True,True,True,False,,0 minutes,0.0,4WD - High Clearance,True
581,Quandary Canyon,"38° 34' 12.72"" N, 110° 55' 40.80"" W",Southern Swell,4.3,4B III (<i>v4a2 III</i>),4B III,7.0,10.0,,7,66 ft,66,Late Spring through Early Fall,True,False,True,False,,0 minutes,0.0,4WD - High Clearance,True
573,Baptist Draw,"38° 41' 51.00"" N, 110° 48' 23.04"" W",Central Swell,4.2,3B III (<i>v3a2 III</i>),3B III,4.0,9.0,,3,70 ft,70,Spring; Summer; Fall,True,True,True,False,,0 minutes,0.0,High Clearance,True
588,Zero G Canyon,"38° 46' 25.32"" N, 110° 29' 40.20"" W",Eastern Reef,3.9,3B II PG (<i>v4a2 II</i>),3B II PG,1.5,3.5,2.8,2,49.213 ft,49,Spring; Summer; Fall,True,True,True,False,,,,Passenger,False
574,Cable Canyon,"38° 30' 12.24"" N, 110° 58' 2.28"" W",Southern Swell,4.0,3B IV (<i>v3a2 IV</i>),3B IV,7.0,9.0,,3,83 ft,83,Spring; Summer; Fall,True,True,True,False,,0 minutes,0.0,Passenger,False
56012,Buckeyes Canyon,"38° 54' 46.80"" N, 110° 27' 7.20"" W",Eastern Reef,4.0,4B III (<i>v4a2 III</i>),4B III,6.0,8.0,,11,181 ft,181,"Spring, Fall",True,False,True,False,,0 minutes,0.0,Passenger,False
1023,The Chute of Muddy Creek,"38° 37' 0.84"" N, 110° 58' 17.76"" W",Southern Swell,4.0,1B IV (<i>v1a2 IV</i>),1B IV,6.0,10.0,,,0 ft,0,Spring; Summer; Fall,True,True,True,False,,,,,False
577,Knotted Rope Canyon,"38° 33' 52.20"" N, 110° 56' 28.32"" W",Southern Swell,3.8,3B IV (<i>v2a2 IV</i>),3B IV,6.0,10.0,,3,25 ft,25,Spring or Fall,True,False,True,False,,0.5 minutes,0.5,4WD - High Clearance,True
28112,Goblin Valley,"38° 33' 51.84"" N, 110° 42' 12.96"" W",Goblin Valley State Park,3.9,POI,POI,1.0,,,,,,Any;HOT in Summer,True,True,True,True,hot in summer,,,Passenger,False
585,Black Box (Upper),"39° 0' 29.88"" N, 110° 29' 21.12"" W",Northern Swell,3.8,3C II (<i>v3a4 II</i>),3C II,3.0,5.0,,1,83 ft,83,Late Spring; Summer; Fall,True,True,True,False,,,,,False
1032,Goblin's Lair,"38° 33' 41.04"" N, 110° 41' 44.16"" W",Goblin Valley State Park,3.6,3A I (<i>v3a1 I</i>),3A I,1.0,4.0,1.75,1,88.583 ft,88,Any;HOT in Summer,True,True,True,True,hot in summer,,,Passenger,False
586,Greasewood (Upper),"38° 50' 22.20"" N, 110° 30' 6.12"" W",Central Swell,3.6,3B III (<i>v3a2 III</i>),3B III,4.0,6.0,,3,66 ft,66,Late spring through early fall,True,False,True,False,,,,,False
1031,Forgotten and Lower Eagle Canyon,"38° 52' 54.48"" N, 110° 54' 16.20"" W",Central Swell,3.7,3A III (<i>v3a1 III</i>),3A III,5.0,7.0,8.5,1,49.213 ft,49,Any; hot in summer,True,True,True,True,hot in summer,,,4WD - High Clearance,True
1038,Little Wild Horse Canyon,"38° 35' 44.88"" N, 110° 48' 19.44"" W",Eastern Reef,3.6,2A II (<i>v1a1 II</i>),2A II,1.0,7.0,,,0 ft,0,Any;HOT in Summer,True,True,True,True,hot in summer,,,Passenger,False
1021,Chute Canyon (Upper),"38° 41' 27.24"" N, 110° 46' 59.88"" W",Central Swell,3.8,3B IV R (<i>v5a2 IV</i>),3B IV R,,,,,,,,,,,,,,,,False
582,Southern Baptist Canyon,"38° 41' 32.28"" N, 110° 47' 37.32"" W",Central Swell,3.6,3B II (<i>v3a2 II</i>),3B II,3.0,8.0,,5,83 ft,83,Spring; Summer; Fall,True,True,True,False,,,,High Clearance,True
576,Eardley Canyon (Lower),"38° 48' 1.08"" N, 110° 31' 36.84"" W",Eastern Reef,3.4,3B III (<i>v3a2 III</i>),3B III,5.0,8.0,,6,50 ft,50,Spring;Summer;Fall;HOT in Summer,True,True,True,False,hot in summer,0 minutes,0.0,,False
1026,Crack Canyon,"38° 38' 35.16"" N, 110° 44' 42.00"" W",Eastern Reef,3.5,2A II (<i>v1a1 II</i>),2A II,2.0,6.0,3.0,,0 ft,0,Any;HOT in Summer,True,True,True,True,hot in summer,,,Passenger,False
1039,Muddy Creek Gorge,"38° 34' 8.04"" N, 110° 57' 21.96"" W",Southern Swell,3.6,2B II (<i>v1a2 II</i>),2B II,,,,,0 ft,0,Spring;Summer;Fall;Winter,True,True,True,True,,,,,False
584,Three Fingers Canyon,"38° 50' 45.60"" N, 110° 30' 48.60"" W",Central Swell,3.5,3B III (<i>v3a2 III</i>),3B III,4.0,6.0,,2,50 ft,50,Late spring through early fall,True,False,True,False,,,,,False
1020,Box and Double Arch Canyons,"38° 55' 50.88"" N, 110° 25' 23.52"" W",Northern Swell,3.4,3B <i>I</i> (<i>v3a2 I</i>),3B <i>I</i>,1.0,3.0,,2,173.885 ft,173,Any;HOT in Summer,True,True,True,True,hot in summer,,,,False
580,Iron Wash (North Fork),"38° 43' 41.88"" N, 110° 31' 41.52"" W",Eastern Reef,3.4,3B III R (<i>v5a2 III</i>),3B III R,3.0,5.0,5.0,2,40 ft,40,Spring; Summer; Fall,True,True,True,False,,,,,False
1028,Ding Canyon,"38° 34' 54.12"" N, 110° 50' 7.08"" W",Eastern Reef,3.3,2A II (<i>v1a1 II</i>),2A II,2.0,6.0,5.0,,0 ft,0,Any;HOT in Summer,True,True,True,True,hot in summer,,,Passenger,False
