pageid,name,coords,region,quality_score,rating_raw,rating_clean,time_lowhours,time_highhours,distance_mi,num_rappels,longest_raw,longest_rappel_ft,best_season_raw,season_spring,season_summer,season_fall,season_winter,best_season_notes,shuttle_raw,shuttle_minutes,vehicle_raw,vehicle_required
293,Shenanigans,"38° 3' 41.04"" N, 110° 29' 13.56"" W",West Butler,4.7,3B III PG (v3a2 V),3B III PG,4.5,8.0,4.5,3,45 ft,45,Spring; Fall,True,False,True,False,,0.5 minutes,0.5,Passenger,False
548,Alcatraz Canyon,"38° 16' 42.60"" N, 110° 23' 58.20"" W",Ekker Ranch Road,4.6,3B III PG (<i>v4a2 III</i>),3B III PG,3.0,5.0,4.0,4,120 ft,120,Spring; Summer; Fall,True,True,True,False,,0 minutes,0.0,,False
308,Chambers Canyon,"38° 19' 59.52"" N, 110° 31' 5.88"" W",White Roost,4.6,3A II PG (<i>v4a1 II</i>),3A II PG,2.0,5.0,2.7,0,0 ft,0,Any;HOT in Summer,True,True,True,True,hot in summer,0 minutes,0.0,High Clearance,True
557,Larry Canyon,"38° 18' 17.64"" N, 110° 22' 44.76"" W",Ekker Ranch Road,4.5,3A III (<i>v3a1 III</i>),3A III,5.0,8.0,,6,80 ft,80,Spring; Summer; Fall,True,True,True,False,,,,,False
491,Black Hole of White Canyon,"37° 47' 57.12"" N, 110° 17' 57.48"" W",Cedar Mesa,4.5,3B III (<i>v2a2 III</i>),3B III,4.0,8.0,7.8,2,15 ft,15,Summer;Spring;Fall,True,True,True,False,,,,Passenger,False
63377,Slideanide Constrychnine Ultimate Loop,"38° 6' 6.84"" N, 110° 31' 13.80"" W",Poison Springs,4.5,3A II (<i>v3a1 II</i>),3A II,5.0,7.0,6.0,3,180 ft,180,"Fall, Winter, Spring",True,False,True,True,,0 minutes,0.0,Passenger,False
301,Slideanide Canyon,"38° 6' 5.04"" N, 110° 31' 10.56"" W",Poison Springs,4.3,3B III (<i>v3a2 III</i>),3B III,2.0,6.0,3.8,2,80 ft,80,Spring; Summer; Fall,True,True,True,False,,0 minutes,0.0,High Clearance,True
564,TCB (North East Fork),"38° 15' 45.72"" N, 110° 17' 49.20"" W",Hans Flat Road,4.4,3A II PG (<i>v4a1 II</i>),3A II PG,3.0,4.0,,0,,,Any;HOT in Summer;DIFFICULT in Winter,True,True,True,True,hot in summer,,,,False
556,High Spur Canyon,"38° 24' 37.80"" N, 110° 9' 6.48"" W",Hans Flat Road,4.3,3A III (<i>v3a1 III</i>),3A III,5.0,8.0,6.75,1,85 ft,85,Any;HOT in Summer;DIFFICULT in Winter,True,True,True,True,hot in summer,0.5 minutes,0.5,High Clearance,True
1002,Horseshoe Canyon,"38° 27' 29.16"" N, 110° 12' 11.88"" W",Bluejohn Complex,4.3,1A <i>III</i> (<i>v1a1 III</i>),1A <i>III</i>,6.0,,7.0,,0 ft,0,Early Winter to Late Spring;BEST in Apr;May;Oct;Nov,True,False,False,True,,,,,False
