pageid,name,coords,region,quality_score,rating_raw,rating_clean,time_lowhours,time_highhours,distance_mi,num_rappels,longest_raw,longest_rappel_ft,best_season_raw,season_spring,season_summer,season_fall,season_winter,best_season_notes,shuttle_raw,shuttle_minutes,vehicle_raw,vehicle_required
346,Heaps Canyon,"37° 16' 54.84"" N, 112° 59' 10.32"" W",Zion Main Canyon,5.0,4B V R (<i>v5a2 V</i>),4B V R,12.0,48.0,10.5,25,290 ft,290,,,,,,,0 minutes,0.0,Passenger,False
351,Imlay Canyon (Sneak Route),"37° 18' 56.88"" N, 112° 57' 38.16"" W",Zion Main Canyon,5.0,4B IV R (<i>v5a2 IV</i>),4B IV R,9.0,18.0,9.1,23,120 ft,120,Summer; Fall,False,True,True,False,,0 minutes,0.0,Passenger,False
354,Kolob Canyon,"37° 23' 41.28"" N, 113° 1' 19.92"" W",Zion West Side,5.0,3C V R (v4a3 <i>V</i>),3C V R,8.0,22.0,7.8,14,155 ft,155,Late Spring; Summer; Fall,True,True,True,False,,,,Passenger,False
350,Imlay Canyon (Full),"37° 19' 11.64"" N, 112° 59' 9.60"" W",Zion Main Canyon,4.7,4B IV R (<i>v5a2 IV</i>),4B IV R,13.0,24.0,11.4,46,170 ft,170,BEST in Jun;Jul;Aug;Sep,False,False,False,False,,1 minutes,1.0,Passenger,False
360,Pine Creek Canyon,"37° 12' 46.80"" N, 112° 56' 25.44"" W",Zion East Side,4.7,3B II (<i>v3a2 II</i>),3B II,2.0,6.0,1.3,8,100 ft,100,Late Spring; Summer; Fall,True,True,True,False,,10 minutes,10.0,Passenger,False
20157,Angels Landing,"37° 16' 30.00"" N, 112° 57' 2.52"" W",Zion Main Canyon,4.5,POI 1A II R (<i>v1a1 II</i>),POI 1A II R,3.0,5.0,5.0,,0 ft,0,Any;HOT in Summer,True,True,True,True,hot in summer,,,Passenger,False
1097,Parunuweap Canyon,"37° 10' 40.80"" N, 112° 51' 7.92"" W",Zion East Side,4.5,2C IV (<i>v1a4 IV</i>),2C IV,10.0,72.0,18.5,0,0 ft,0,,,,,,,25 minutes,25.0,Passenger,False
338,Boundary Canyon,"37° 23' 30.48"" N, 113° 0' 2.16"" W",Zion West Side,4.3,3C IV (<i>v3a4 IV</i>),3C IV,5.5,18.0,6.6,10,100 ft,100,Late spring; summer; fall,True,True,True,False,,0 minutes,0.0,Passenger,False
344,Englestead Hollow,"37° 18' 18.00"" N, 112° 53' 27.96"" W",Zion East Side,4.2,3B IV (v4a1 V),3B IV,6.0,12.0,7.5,15,250 ft,250,Late Spring; Summer; Fall,True,True,True,False,,,,Passenger,False
358,Mystery Canyon,"37° 17' 18.96"" N, 112° 55' 46.92"" W",Zion East Side,4.3,3B III (<i>v3a2 III</i>),3B III,5.0,9.5,8.0,13,110 ft,110,Spring through fall.,True,True,True,False,,,,Passenger,False
368,The Subway,"37° 19' 3.72"" N, 113° 2' 26.16"" W",Zion West Side,4.3,3B III (<i>v3a2 III</i>),3B III,5.0,12.0,9.5,4,30 ft,30,Spring; Summer; Fall,True,True,True,False,,20 minutes,20.0,Passenger,False
340,Checkerboard Canyon,"37° 20' 47.76"" N, 112° 56' 6.72"" W",Zion East Side,4.3,3B IV (<i>v3a2 IV</i>),3B IV,11.0,15.5,13.4,13,210 ft,210,,,,,,,1 minutes,1.0,High Clearance,True
341,Das Boot,"37° 19' 19.92"" N, 113° 1' 53.40"" W",Zion West Side,4.0,3B III (<i>v3a2 III</i>),3B III,4.0,12.0,8.4,3,66 ft,66,Spring; Summer; Fall,True,True,True,False,,0 minutes,0.0,Passenger,False
353,Keyhole Canyon (Zion National Park),"37° 13' 36.48"" N, 112° 54' 10.44"" W",Zion East Side,4.1,3B I (<i>v3a2 I</i>),3B I,1.0,2.0,0.7,3,30 ft,30,Late Spring; Summer; Fall,True,True,True,False,,0 minutes,0.0,Passenger,False
1113,Zion Narrows (Upper),"37° 22' 9.84"" N, 112° 55' 41.88"" W",Zion East Side,4.1,1B IV (<i>v1a2 IV</i>),1B IV,2.0,,16.0,,0 ft,0,Spring to Autumn;BEST in Sep;Oct;Apr;May,True,False,True,False,,,,,False
345,Misery Canyon,"37° 12' 43.92"" N, 112° 52' 59.88"" W",Zion East Side,4.0,3B III (<i>v3a2 III</i>),3B III,5.0,14.0,8.9,5,70 ft,70,Spring; Summer; Fall,True,True,True,False,,0 minutes,0.0,Passenger,False
1112,Zion Narrows (Lower),"37° 17' 52.44"" N, 112° 56' 48.84"" W",Zion Main Canyon,4.0,2B II (<i>v1a2 II</i>),2B II,1.0,13.0,,,0 ft,0,Summer; Fall,False,True,True,False,,,,,False
19463,Echo Canyon (Lower),"37° 16' 15.60"" N, 112° 56' 6.00"" W",Zion Main Canyon,4.0,4B IV (<i>v4a2 IV</i>),4B IV,6.0,11.0,,14,120 ft,120,Summer;Fall,False,True,True,False,,,,,False
1096,Oak Creek (South Fork),"37° 24' 37.80"" N, 113° 0' 5.76"" W",Zion West Side,4.0,3C IV (<i>v3a4 IV</i>),3C IV,,,,,,,,,,,,,,,,False
1090,Kanarra Creek,"37° 32' 15.36"" N, 113° 9' 9.00"" W",Kolob Area,4.0,2C III (<i>v1a4 III</i>),2C III,5.0,7.0,0.00249,0,0 ft,0,Any;COLD in Winter,True,True,True,True,cold in winter,60 minutes,60.0,Passenger,False
5625,Heaps Canyon (North Fork) (Gunsight),"37° 16' 48.72"" N, 112° 58' 33.24"" W",Zion Main Canyon,4.0,4B V R (<i>v5a2 V</i>),4B V R,48.0,,,18,280 ft,280,Summer; early Fall,False,True,True,False,,,,,False
19461,Jacob Canyon,"37° 15' 17.64"" N, 112° 58' 11.64"" W",Zion Main Canyon,4.0,4A IV R (<i>v5a1 IV</i>),4A IV R,,,,13,225 ft,225,June-Oct,False,False,False,False,,0 minutes,0.0,Passenger,False
336,Behunin Canyon,"37° 16' 57.00"" N, 112° 58' 10.92"" W",Zion Main Canyon,3.8,3B III (<i>v3a2 III</i>),3B III,5.0,12.0,6.8,9,170 ft,170,Late spring through fall.,True,True,True,False,,0 minutes,0.0,Passenger,False
343,Echo Canyon (Middle),"37° 16' 40.08"" N, 112° 55' 14.16"" W",Zion East Side,3.8,3B II (<i>v2a2 II</i>),3B II,3.0,7.0,6.5,7,22 ft,22,Late Spring to Autumn;BEST in Jun;Jul;Aug;Sep,True,False,True,False,,0 minutes,0.0,Passenger,False
469,Orderville Canyon,"37° 19' 55.20"" N, 112° 49' 59.16"" W",Zion East Side,3.9,3B III (<i>v3a2 III</i>),3B III,6.0,10.0,12.5,2,30 ft,30,Late Spring; Summer; Fall,True,True,True,False,,,,4WD,True
7434,Portal Canyon,"36° 53' 51.72"" N, 113° 49' 55.92"" W",Virgin River Gorge,3.9,3A IV (<i>v3a1 IV</i>),3A IV,9.0,13.0,4.4,16,175 ft,175,Oct-Apr,False,False,False,False,,0 minutes,0.0,Passenger,False
89950,Family Camp,"37° 12' 15.12"" N, 112° 52' 22.08"" W",Zion East Side,3.8,4B III (v3a2 <i>III</i>),4B III,7.0,10.0,,6,60 ft,60,"Srping to Autumn, BEST in Spring",True,False,True,False,,0 minutes,0.0,Passenger,False
239,Benson Creek,"37° 46' 14.52"" N, 112° 49' 51.60"" W",Dixie National Forest,3.7,3C1 I (<i>v3a4 I</i>),3C1 I,,,3.3,4,105 ft,105,Spring to Fall,True,False,True,False,,0 minutes,0.0,Passenger,False
337,Birch Hollow,"37° 18' 35.28"" N, 112° 51' 19.44"" W",Zion East Side,3.7,3A III (<i>v3a1 III</i>),3A III,,,10.6,9,120 ft,120,Spring; Summer; Fall,True,True,True,False,,0.5 minutes,0.5,Passenger,False
367,Spry Canyon,"37° 13' 41.88"" N, 112° 56' 42.00"" W",Zion East Side,3.6,3B III (<i>v3a2 III</i>),3B III,4.0,8.0,3.0,13,160 ft,160,Spring; Summer; Fall,True,True,True,False,,1 minutes,1.0,Passenger,False
371,Water Canyon (Zion National Park),"37° 3' 16.56"" N, 112° 57' 59.76"" W",St. George,3.5,3B III (<i>v3a2 III</i>),3B III,5.0,11.0,4.3,14,170 ft,170,BEST in Apr;May;Aug;Sep,False,False,False,False,,0 minutes,0.0,Passenger,False
